City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
357,hoi an,15.8794,108.335,76.96,overcast clouds,0.0,0,86,100,8.14,VN
358,dhanera,24.5167,72.0167,75.88,overcast clouds,0.0,0,88,92,10.16,IN
359,vila velha,-20.3297,-40.2925,73.35,few clouds,0.0,0,85,20,10.36,BR
360,jinxiang,27.4327,120.6062,79.75,broken clouds,0.0,0,89,55,5.59,CN
361,nouadhibou,20.931,-17.0347,74.32,scattered clouds,0.0,0,79,47,14.97,MR
362,springfield,37.2153,-93.2982,86.86,scattered clouds,0.0,0,46,40,7.0,US
363,quepos,9.4236,-84.1652,79.3,overcast clouds,0.0,0,83,90,6.51,CR
364,rafaela,-31.2503,-61.4867,84.99,clear sky,0.0,0,27,6,1.01,AR
365,kutum,14.2,24.6667,78.96,clear sky,0.0,0,56,9,5.93,SD
366,likasi,-10.9814,26.7333,66.49,clear sky,0.0,0,42,3,3.8,CD
367,rapid valley,44.0625,-103.1463,79.0,clear sky,0.0,0,47,0,5.75,US
368,conakry,9.538,-13.6773,78.48,moderate rain,1.87,0,83,100,18.7,GN
369,paka,4.6374,103.4368,78.03,overcast clouds,0.0,0,90,100,7.52,MY
370,inyonga,-6.7167,32.0667,69.62,clear sky,0.0,0,37,6,4.88,TZ
371,bardiyah,31.7561,25.0865,78.67,clear sky,0.0,0,67,0,12.3,LY
372,tsnori,41.6209,45.9694,70.9,clear sky,0.0,0,29,0,2.48,GE
373,ossora,59.2353,163.0719,55.63,overcast clouds,0.0,0,90,100,11.7,RU
374,brecksville,41.3198,-81.6268,86.99,clear sky,0.0,0,59,6,8.99,US
375,valleyview,55.0667,-117.2859,81.21,clear sky,0.0,0,33,0,9.4,CA
376,aguascalientes,21.8833,-102.3,73.35,scattered clouds,0.0,0,46,40,3.44,MX
377,karpathos,35.507,27.2132,75.16,clear sky,0.0,0,83,4,10.36,GR
378,vila do maio,15.1333,-23.2167,81.39,scattered clouds,0.0,0,77,31,7.99,CV
379,boali,4.8005,18.1275,71.33,light rain,0.29,0,94,100,4.85,CF
380,motril,36.7507,-3.5179,82.04,scattered clouds,0.0,0,65,50,5.14,ES
381,mugumu,-1.85,34.7,66.56,scattered clouds,0.0,0,56,36,0.34,TZ
382,rio gallegos,-51.6226,-69.2181,48.25,few clouds,0.0,0,53,20,18.41,AR
383,rzhev,56.2624,34.3282,64.53,scattered clouds,0.0,0,49,36,5.21,RU
